title,authors
Bioinspired Visual Motion Estimation,Orchard and Etienne-Cummings. 2014. Proceedings of the IEEE.
Active echo: a new paradigm for ultrasound calibration,Guo et al. 2014. MICCAI.
Photoacoustic active ultrasound element for catheter tracking,Guo et al. 2014. SPIE BiOS.
An Efficient and Compact Compressed Sensing Microsystem for Implantable Neural Recordings,Zhang et al. 2014. IEEE TBioCAS.
An efficient and compact compressed sensing microsystem for implantable neural recordings,Zhang et al. 2014. IEEE TBioCAS.
Energy-efficient two-stage Compressed Sensing method for implantable neural recordings,Suo et al. IEEE BioCAS. 2013.
Proto-object based visual saliency model with a motion-sensitive channel,Molin et al. 2013. BioCAS.
A model of proto-object based saliency,"Russell et al. 2014. Vision research, vol. 94: 1-15"
Real-time motion estimation using spatiotemporal filtering in FPGA,"Orchard, Thakor, and Etienne-Cummings. 2013. BioCAS."
A spiking neural network architecture for visual motion estimation,Orchard et al. 2013. BioCAS.
Selecting a safe power level for an indoor implanted UWB wireless biotelemetry link,Duncan and Etienne-Cummings. 2013. BioCAS.
Empowering Low-Cost CMOS Cameras by Image Processing to Reach Comparable Results with Costly CCDs,Köklü et al. 2013. BioNanoScience.
Reconstruction of neural action potentials using signal dependent sparse representations,Zhang et al. 2013. ISCAS.
Fast Neuromimetic Object Recognition Using FPGA Outperforms GPU Implementations,Orchard et al. 2013. IEEE TNNLS.
Fast neuromimetic object recognition using FPGA outperforms GPU implementations,Orchard et al. 2013. IEEE TNNLS.
Auditory modulation of visual proto-object formation in a hierarchical auditory-visual saliency map,Figliolia et al. 2013. CISS.
Plenoptic cameras in real-time robotics,Dong et al. 2013. IJRR.
Live demonstration: A tactile perception system for sensing the visual world,Rhoades et al. 2012. BioCAS.
Live demo: Spiking ratslam: Rat hippocampus cells in spiking neural hardware,Galluppi et al. 2012. BioCAS.
A Miniaturized Platform for Laser Speckle Contrast Imaging,Senarathna et al. 2012. IEEE TBioCAS.
A miniaturized platform for laser speckle contrast imaging,Senarathna et al. 2012. TBioCAS.
Real Time Compressive Sensing Video Reconstruction in Hardware,Orchard et al. 2012. IEEE JETCAS.
Real time compressive sensing video reconstruction in hardware,Orchard et al. 2012. IEEE Journal on Emerging and Selected Topics in Circuits and Systems.
"Prevention and diagnosis of retained foreign bodies through the years: Past, present, and future technologies",Asiyanobla et al. 2012. Tech Health Care.
"Prevention and diagnosis of retained foreign bodies through the years: past, present, and future technologies","Asiyanbola, Etienne-Cummings, and Lewi. 2012. Technology and Health Care vol. 20, no. 5: 379-386."
Neuromorphic approach to a locomotion control algorithm as applied to the cat walking cycle,Mazurek and Etienne-Cummings. 2012. Conf Proc IFESS.
Intraspinal Microstimulation for Restoring Walking,Holinski et al. 2012. Conf Proc IFESS.
Modified Map-Seeking Circuit: Use of Computer-Aided Detection in Locating Postoperative Retained Foreign Bodies1,"Asiyanbola et al. 2012. Journal of Surgical Research vol. 175, no. 2: e47-e52."
"Perceptual organization, attention and object recognition: Closing the loop",Russell and Etienne-Cummings. 2012. CISS.
An entropy based ideal observer model for visual saliency,Harrison and Etienne-Cummings. 2012. CISS.
Parameter estimation of a spiking silicon neuron,Russell et al. 2012. TBioCAS.
Feed forward and feedback control for over-ground locomotion in anaesthetized cats,Mazurek et al. 2012. J. Neural Engineering.
Towards a Cortical Prosthesis: Implementing A Spike-Based HMAX Model of Visual Object Recognition in Silico,Folowosele et al. 2011. IEEE JETCAS.
Neuromorphic Electronic Design,"Tenore and Etienne‐Cummings. 2011. Biohybrid Systems: Nerves, Interfaces, and Machines."
Design of a novel head-mountable microscope system for laser speckle imaging,Senarathna et al. 2011.
Computer Aided Detection Of Retained Foreign Bodies,"Sciotino et al. 2011. Journal of Surgical Research vol. 165, no. 2: 175."
Maximum likelihood parameter estimation of a spiking silicon neuron,Russell and Etienne-Cummings. 2011.
An area and power efficient I-UWB transmitter for biomedical applications implemented in 65 nm CMOS technology,"Novak, Charles, and Brown. 2011."
A CMOS in-pixel CTIA high-sensitivity fluorescence imager,"Murari et al. 2011. IEEE transactions on biomedical circuits and systems vol. 5, no. 5: 449-458."
Implementation of functional components of the locomotion processing unit,Mazurek and Etienne-Cummings. 2011.
Neuromorphic silicon neuron circuits,Indiveri et al. 2011. Frontiers in neuroscience vol. 5.
Sensor and display human factors based design constraints for head mounted and tele-operation systems,"Harrison, Mullins, and Etienne-Cummings. 2011."
Silicon Modeling of the Mihalaş–Niebur Neuron,"Folowosele, Hamilton, and Etienne-Cummings. 2011. IEEE transactions on neural networks vol. 22, no. 12: 1915-1927."
A low-cost COTS UWB transceiver for biological applications achieves 50 Mb/s with,Duncan and Etienne-Cummings. 2011.
Parameter estimation of history-dependent leaky integrate-and-fire neurons using maximum-likelihood methods,"Dong et al. 2011. Neural computation vol. 23, no. 11: 2833."
Estimating parameters of generalized integrate-and-fire neurons from the maximum likelihood of spike trains,"Dong et al. 2011. Neural computation vol. 23, no. 11: 2833-2867."
How do we make future neurally integrated prosthetic devices speak the same language as the nervous system,Cummings. 2011.
A novel 3D display using multi-hyperstereo image stitching,Ashby and Etienne-Cummings. 2011.
Confession session: Learning from others mistakes,Abshire et al. 2011.
Sponges and incorrect sponge count are a minor contribution to the problem of retained foreign bodies,Asiyanbola et al. 2010. Journal Am Coll Surg.
Optimization methods for spiking neurons and networks,"Russell et al. 2010. IEEE transactions on neural networks vol. 21, no. 12: 1950-1962."
Discriminating multiple nearby targets using single-ping ultrasonic scene mapping,"Orchard and Etienne-Cummings. 2010. IEEE Transactions on Circuits and Systems I: Regular Papers vol. 57, no. 11: 2915-2924."
An integrated imaging microscope for untethered cortical imaging in freely-moving animals,Murari et al. 2010.
Synthesis of log-domain integrators for silicon synapses with global parametric control,"Mitra, Indiveri, and Etienne-Cummings. 2010."
Locomotion processing unit,Mazurek et al. 2010.
A spike based 3D imager chip using a mixed mode encoding readout,Harrison et al. 2010.
Current mode image sensor with two transistors per pixel,"Gruev et al. 2010. IEEE Transactions on Circuits and Systems I: Regular Papers vol. 57, no. 6: 1154-1165."
Sponges and incorrect sponge count are a minor contribution to the problem of retained foreign bodies,"Asiyanbola et al. 2010. Journal of the American College of Surgeons vol. 211, no. 3: S103-S104."
Phase-based control of the central pattern generator for locomotion,"Vogelstein, Etienne-Cummings, and Cohen. 2009."
Decoding of individuated finger movements using surface electromyography,"Tenore et al. 2009. IEEE transactions on biomedical engineering vol. 56, no. 5: 1427-1434."
A first-order nonhomogeneous Markov model for the response of spiking neurons stimulated by small phase-continuous signals,"Tapson et al. 2009. Neural computation vol. 21, no. 6: 1554-1588."
A color detection glove with haptic feedback for the visually disabled,"Schwerdt, Tapson, and Etienne-Cummings. 2009."
Real-time implementation of biofidelic sa1 model for tactile feedback,Russell et al. 2009.
Simulation of a single ping ultrasonic bearing estimation design using spatiotemporal filtering,"Orchard, Etienne-Cummings, and Molin. 2009."
Contamination of equipment in emergency settings: An exploratory study with a targeted automated intervention,"Obasi et al. 2009. Annals of surgical innovation and research vol. 3, no. 1: 8."
